scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,1yr_return_rank,3yr_return_rank,5yr_return_rank,sortino_rank,alpha_rank,sd_rank,beta_rank,sharpe_rank,expense_rank
ICICI Pru Multi-Asset Fund,100,5000,1.15,16449,10,Sankaran Naren,3.99,10.44,13.67,0.81,1.85,6,ICICI Prudential Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,11.3,31.3,14.2,765,672,590,687,742,420,309,713,160
ICICI Pru Multicap Fund,100,5000,1.02,6929,10,Sankaran Naren,3.31,3.09,16.79,0.94,1.49,6,ICICI Prudential Mutual Fund,0,Equity,Multi Cap Funds,5.7,29.1,11.8,631,631,459,523,529,632,527,552,207
ICICI Pru Nifty 50 Index Fund,100,100,0.17,3977,10,Kayzad Eghlim,3.46,-0.72,16.8,1,1.3,6,ICICI Prudential Mutual Fund,3,Other,Index Funds,0.9,26.1,11.9,164,561,462,585,98,633,632,397,736
ICICI Pru Nifty Next 50 Index Fund,100,100,0.3,2415,10,Kayzad Eghlim,1.7,-4.7,18.11,0.98,0.97,6,ICICI Prudential Mutual Fund,1,Other,Index Funds,-6.4,22,6.1,23,447,112,192,21,700,591,221,619
ICICI Pru Overnight Fund,500,100,0.1,12837,4,Rahul Goswami,-0.25,0.54,0.35,0.42,-0.05,1,ICICI Prudential Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,15,195,15,33,15,778
ICICI Pru P.H.D Fund,100,5000,1.22,2538,5,Dharmesh Kakkad,2.68,3.7,21.09,0.96,1.03,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-6,25,,30,507,407,353,567,760,562,257,130
ICICI Pru Passive Strategy Fund,1000,5000,0.06,93,10,Dharmesh Kakkad,3.11,1.99,14.83,0.84,1.46,6,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,4.9,26.3,10.9,457,568,408,460,403,461,348,524,806
ICICI Pru Regular Gold Savings Fund,100,100,0.09,671,10,Manish Banthia,1.1,-0.21,14,0.99,0.49,5,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,14.3,11.7,13.1,791,308,538,127,132,432,610,97,791
ICICI Pru Regular Savings Fund,100,5000,0.99,3212,10,Manish Banthia,3.57,3.21,3.41,0.5,2,4,ICICI Prudential Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,5.5,11.3,9,575,302,329,619,540,266,79,763,226
ICICI Pru Retirement Fund,100,5000,1.22,209,4,Lalit Kumar,2.78,2.63,11.88,0.78,1.44,6,ICICI Prudential Mutual Fund,5,Solution Oriented,Retirement Funds,0.1,31.3,,131,672,407,375,474,387,266,513,130
ICICI Pru Retirement Fund,100,5000,1.12,152,4,Lalit Kumar,2.43,1.02,4.45,0.64,1.26,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,1.7,32.4,13.3,213,679,550,308,271,289,157,354,165
ICICI Pru Retirement Fund,100,5000,1,59,4,Lalit Kumar,2.16,2.1,2.28,0.93,1.04,4,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,2,9.9,,234,291,407,246,413,207,512,263,216
ICICI Pru Retirement Fund,100,5000,1.29,175,4,Manish Banthia,3.51,8.42,15.15,0.75,1.71,3,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,4.6,6.8,,428,232,407,607,708,478,236,665,108
ICICI Pru S&P BSE Sensex Index Fund,100,100,0.16,694,6,Kayzad Eghlim,3.24,-1.12,16.97,1,1.27,6,ICICI Prudential Mutual Fund,4,Other,Index Funds,1.4,25.8,12.9,198,545,528,497,77,647,632,364,745
ICICI Pru Savings Fund,100,100,0.4,21144,10,Rahul Goswami,2.65,3,1.3,0.87,1.41,2,ICICI Prudential Mutual Fund,2,Debt,Low Duration Funds,5.7,6.2,6.7,631,193,157,346,518,137,400,489,519
ICICI Pru Short Term Fund,1000,5000,0.39,14561,10,Manish Banthia,3.78,4.86,1.7,1.42,1.75,3,ICICI Prudential Mutual Fund,4,Debt,Short Duration Funds,6.4,7.5,7.7,686,264,254,661,627,159,727,680,530
ICICI Pru Smallcap Fund,100,5000,0.81,4618,10,Harish Bihani,4.72,8.49,18.41,0.82,1.94,6,ICICI Prudential Mutual Fund,3,Equity,Small Cap Mutual Funds,7.7,41.8,14.9,717,763,606,762,710,709,325,749,299
ICICI Pru Technology Fund,100,5000,0.99,8993,10,Vaibhav Dusad,2.41,9.3,23.4,0.92,1.48,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-19.7,45.3,21.6,1,784,643,295,722,777,492,545,226
ICICI Pru Thematic Advantage Fund,1000,5000,0.25,958,10,Dharmesh Kakkad,4.13,6.63,18.22,0.98,1.63,6,ICICI Prudential Mutual Fund,0,Other,FoFs Domestic,5.4,35.4,14.6,540,730,599,711,681,702,591,644,665
ICICI Pru Ultra Short Term Fund,1000,5000,0.39,12447,10,Manish Banthia,4.76,2.36,0.68,0.54,2.4,3,ICICI Prudential Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.9,6.7,631,169,157,765,439,93,95,790,530
ICICI Pru US Bluechip Equity Fund,100,5000,1.22,2365,10,Rohan Maru,1.69,-,19.18,-,0.88,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,4.8,23.4,15.9,446,475,625,188,407,734,407,176,130
ICICI Pru Value Discovery Fund,100,1000,1.22,27449,10,Sankaran Naren,4.4,11.82,14.61,0.8,2.04,6,ICICI Prudential Mutual Fund,4,Equity,Value Funds,8.9,36.9,14.9,743,742,606,739,752,448,294,767,130
IDBI Banking & Financial Services Fund,500,5000,1.5,81,5,Alok Ranjan,1.99,-1.2,22.62,0.86,0.88,6,IDBI Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,4.8,20.3,,446,418,407,228,72,772,385,176,65
IDBI Credit Risk Fund,500,5000,0.61,22,9,Raju Sharma,3.09,3.08,6.23,-2.49,1.03,4,IDBI Mutual Fund,3,Debt,Credit Risk Funds,4.3,11.3,3.7,395,302,14,456,525,317,4,257,408
IDBI Dividend Yield Fund,500,5000,1.5,85,4,Alok Ranjan,2.79,1.29,14.28,0.81,1.43,6,IDBI Mutual Fund,0,Equity,Dividend Yield Funds,0.1,25.2,,131,522,407,379,304,439,309,503,65
IDBI Equity Advantage Fund,500,500,1.21,455,10,Alok Ranjan,2.4,-1.93,14.59,0.8,1.15,6,IDBI Mutual Fund,2,Equity,ELSS Mutual Funds,-0.7,33.7,11.3,102,708,428,293,49,447,294,308,137
IDBI Equity Savings Fund,500,5000,1.15,9.77,10,Alok Ranjan,2.48,0.39,7.12,1.05,1.11,4,IDBI Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.5,11.8,7.2,263,312,207,316,173,330,666,292,160
IDBI Focused 30 Equity Fund,500,5000,1.61,125,5,Alok Ranjan,3.11,-0.57,16.02,0.94,1.29,6,IDBI Mutual Fund,3,Equity,Focused Funds,0.1,25.2,10.2,131,522,379,460,110,545,527,384,49
IDBI Gold Fund,500,5000,0.26,42,10,Nitin Dattaram Dalvi,0.82,-0.02,16.54,1,0.42,5,IDBI Mutual Fund,3,Other,FoFs Domestic,15,12.1,12.9,797,317,528,90,143,600,632,76,655
IDBI Healthcare Fund,500,5000,1.24,49,4,Alok Ranjan,1.57,-3.1,20.52,0.95,0.71,6,IDBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13,17.1,,6,371,407,166,32,756,550,136,124
IDBI Hybrid Equity Fund,500,5000,1.67,171,6,Alok Ranjan,2.66,-0.86,11.4,0.78,1.18,6,IDBI Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.8,17.5,7,78,381,190,348,90,369,266,318,40
IDBI India Top 100 Equity Fund,500,5000,1.26,599,10,Alok Ranjan,2.94,0.51,15.82,0.93,1.36,6,IDBI Mutual Fund,4,Equity,Large Cap Mutual Funds,0.5,26,12.4,144,554,500,413,188,525,512,440,118
IDBI Liquid Fund,500,5000,0.13,763,10,Raju Sharma,5.73,1.43,0.36,0.75,1.19,2,IDBI Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4,595,57,63,783,340,29,236,324,768
IDBI Long Term Value Fund,500,5000,1.67,92,5,Alok Ranjan,2.89,1.21,16.51,0.94,1.36,6,IDBI Mutual Fund,2,Equity,Value Funds,-0.1,25.4,,123,530,407,402,297,595,527,440,40
IDBI Midcap Fund,500,5000,1.62,176,6,Alok Ranjan,2.57,-5.96,17.76,0.97,1.27,6,IDBI Mutual Fund,1,Equity,Mid Cap Mutual Funds,-2.9,25.1,7.7,59,517,254,330,10,686,577,364,46
IDBI Nifty 50 Index Fund,500,5000,0.32,188,10,Nisha Sharma,3.47,-0.9,16.78,1,1.29,6,IDBI Mutual Fund,3,Other,Index Funds,0.8,25.8,11.8,159,545,459,589,88,631,632,384,600
IDBI Nifty Next 50 Index Fund,500,5000,0.32,49,10,Nisha Sharma,1.71,-4.78,18.03,0.98,0.96,6,IDBI Mutual Fund,1,Other,Index Funds,-6.1,21.8,6.2,28,439,122,194,19,698,591,215,600
IDBI Short Term Bond Fund,500,5000,0.28,29,10,Raju Sharma,3.22,3.82,5,-0.57,0.92,2,IDBI Mutual Fund,4,Debt,Short Duration Funds,4.1,9.4,6.9,372,284,179,490,577,302,12,193,638
IDBI Small Cap Fund,500,5000,1.54,143,6,Alok Ranjan,4.09,8.16,16.34,0.71,1.95,6,IDBI Mutual Fund,3,Equity,Small Cap Mutual Funds,2.1,38.5,12.6,240,754,507,703,704,582,204,753,58
IDBI Ultra Short Term Fund,500,5000,0.25,198,10,Raju Sharma,1.68,1.14,0.72,0.15,1.29,2,IDBI Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,5.9,540,112,98,183,286,105,18,384,665
IIFL Dynamic Bond Fund,1000,10000,0.27,494,10,Milan Mody,1.63,1.61,1.86,0.6,0.96,3,IIFL Mutual Fund,4,Debt,Dynamic Bond,3.3,6,6.5,305,179,144,174,358,177,131,215,649
IIFL Focused Equity Fund,1000,1000,0.9,3416,8,Mayur Patel,3.39,3.78,16.2,0.91,1.56,6,IIFL Mutual Fund,5,Equity,Focused Funds,4.7,29.2,18.1,436,632,631,556,573,562,472,598,267
IIFL Liquid Fund,1000,5000,0.2,601,9,Milan Mody,0.19,0.87,0.39,0.64,0.04,3,IIFL Mutual Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,4.8,575,13,30,34,250,55,157,27,714
Indiabulls Arbitrage Fund,1000,500,0.58,14,8,Sumit Bhatnagar,-1.04,0.18,0.67,0.54,-0.82,1,Indiabulls Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,4.3,3.3,4.5,395,1,20,5,157,91,95,1,428
Indiabulls Bluechip Fund,500,500,1.27,91,10,Sumit Bhatnagar,2.23,-3.4,16.22,0.94,1.1,6,Indiabulls Mutual Fund,2,Equity,Large Cap Mutual Funds,2,21.3,9.5,234,429,351,258,29,565,527,287,116
Indiabulls Dynamic Bond Fund,500,500,0.36,25,4,Karan Singh,0.99,0.95,2.04,0.84,0.58,3,Indiabulls Mutual Fund,3,Debt,Dynamic Bond,4.2,5.2,,383,124,407,112,265,191,348,110,560
Indiabulls Equity Hybrid Fund,500,500,1.55,32,4,Sumit Bhatnagar,2.77,0.47,12.71,0.87,1.29,5,Indiabulls Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,20.5,,298,423,407,373,182,402,400,384,55
Indiabulls Liquid Fund,500,500,0.22,212,10,Karan Singh,1.28,0.95,0.36,0.63,0.28,2,Indiabulls Mutual Fund,1,Debt,Liquid Mutual Funds,5.4,4,5.2,540,35,41,145,265,29,152,53,687
Indiabulls Overnight Fund,500,500,0.18,42,4,Karan Singh,-1.77,0.4,0.33,0.39,-0.36,1,Indiabulls Mutual Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,,496,6,407,1,175,2,29,4,728
Indiabulls Short Term Fund,500,500,0.38,25,10,Karan Singh,1.15,4.88,1.55,2.83,0.7,3,Indiabulls Mutual Fund,2,Debt,Short Duration Funds,4.4,5.1,5.9,404,112,98,131,630,148,766,133,543
Indiabulls Tax Savings Fund,500,500,0.5,36,5,Sumit Bhatnagar,2.52,-2.36,15.09,0.88,1.21,6,Indiabulls Mutual Fund,2,Equity,ELSS Mutual Funds,1,22.3,7.8,177,452,264,321,41,475,417,334,472
Indiabulls Value Fund,500,500,0.5,9.71,8,Sumit Bhatnagar,2.9,-0.23,16.23,0.92,1.27,6,Indiabulls Mutual Fund,2,Equity,Value Funds,-0.2,25.6,6.3,119,534,130,403,128,568,492,364,472
Invesco India – Invesco GEI Fund,500,1000,0.73,12,9,Amit Nigam,1.58,-,17.74,-,1.01,6,Invesco Mutual Fund,0,Other,FoFs Overseas,9.5,24.4,9.5,748,493,351,168,407,682,407,246,340
Invesco India Arbitrage Fund,500,1000,0.38,3184,10,Deepak Gupta,2.16,1.77,0.71,0.53,1.5,1,Invesco Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,6.4,5,5.6,686,105,82,246,381,103,86,556,543
Invesco India Banking & PSU Debt Fund,1000,1000,0.28,131,10,Vikas Garg,0.33,4.59,3.47,2.79,0.25,3,Invesco Mutual Fund,1,Debt,Banking and PSU Mutual Funds,2.3,5.8,6.4,251,165,136,43,608,269,765,51,638
Invesco India Contra Fund,500,1000,0.62,9347,10,Taher Badshah,3.5,2.27,16.24,0.94,1.45,6,Invesco Mutual Fund,4,Equity,Contra Funds,2.8,27.6,12.3,277,603,493,601,433,569,527,521,403
Invesco India Corporate Bond Fund,100,1000,0.28,2065,10,Vikas Garg,1.56,1.51,1.86,0.67,0.91,2,Invesco Mutual Fund,3,Debt,Corporate Bond Mutual Funds,3.7,6.4,6.9,331,207,179,163,351,177,175,190,638
Invesco India Credit Risk Fund,1000,1000,0.28,129,9,Vikas Garg,2.95,9.17,2.89,4.76,0.97,2,Invesco Mutual Fund,2,Debt,Credit Risk Funds,4.4,6,3.5,404,179,12,417,720,241,769,221,638
Invesco India Dynamic Equity Fund,500,1000,0.95,612,10,Amit Ganatra,2.84,0.76,9.2,0.59,1.27,6,Invesco Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,15.4,7.4,352,360,230,387,239,347,124,364,244
Invesco India Equity & Bond Fund,500,1000,0.76,378,5,Dhimant Kothari,2.71,1.1,10.94,0.71,1.29,6,Invesco Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,1.5,17.4,,203,378,407,360,282,362,204,384,327
Invesco India Equity Savings Fund,500,1000,0.73,132,4,Dhimant Kothari,1.9,0.17,5.58,0.82,1.08,4,Invesco Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,1.2,9.6,,184,287,407,216,156,308,325,275,340
Invesco India Financial Services Fund,100,1000,1.08,472,10,Hiten Jain,2.16,1.74,21.36,0.8,1,6,Invesco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.9,22.6,10.9,667,460,408,246,375,765,294,240,181
Invesco India Gilt Fund,100,1000,0.48,22,10,Vikas Garg,0.08,-0.44,2.51,0.54,0.06,2,Invesco Mutual Fund,1,Debt,Gilt Mutual Funds,4.9,4.2,6.7,457,42,157,27,122,225,95,33,481
Invesco India Gold Fund,500,1000,0.16,59,10,Krishna Cheemalapati,1.22,0.29,14.79,1.03,0.51,5,Invesco Mutual Fund,4,Other,FoFs Domestic,13.2,11.5,13.2,781,305,545,138,167,459,657,103,745
Invesco India Growth Opportunities Fund,100,1000,0.66,3665,10,Amit Ganatra,2.85,0.23,15.03,0.84,1.3,6,Invesco Mutual Fund,3,Equity,Large & Mid Cap Funds,0.8,22.8,11,159,464,417,389,158,473,348,397,378
Invesco India Infrastructure Fund,500,1000,1.08,445,10,Amit Nigam,3.6,8.67,17.74,0.61,1.59,6,Invesco Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,8.9,33.2,14.6,743,700,599,626,715,682,140,618,181
Invesco India Largecap Fund,100,1000,0.81,724,10,Amit Nigam,2.62,-0.23,16.09,0.92,1.28,6,Invesco Mutual Fund,4,Equity,Large Cap Mutual Funds,-1.8,24,11.1,78,481,422,339,128,554,492,374,299
Invesco India Liquid Fund,500,1000,0.15,6434,10,Krishna Cheemalapati,4.13,1.31,0.37,0.75,0.83,2,Invesco Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3,595,45,45,711,309,34,236,163,751
Invesco India Medium Duration Fund,1000,1000,0.4,306,2,Vikas Garg,-,-,-,-,-,3,Invesco Mutual Fund,2,Debt,Medium Duration Funds,3.5,,,315,407,407,407,407,407,407,407,519
Invesco India Midcap Fund,500,1000,0.72,2618,10,Pranav Gokhale,3.31,-0.38,15.97,0.86,1.56,6,Invesco Mutual Fund,3,Equity,Mid Cap Mutual Funds,0.2,33.5,14.6,137,703,599,523,123,541,385,598,346
Invesco India Money Market Fund,1000,1000,0.22,2294,10,Krishna Cheemalapati,1.82,3.07,0.8,1.61,1.14,2,Invesco Mutual Fund,2,Debt,Money Market Funds,5,5.1,5.8,470,112,94,206,524,120,736,302,687
Invesco India Multicap Fund,500,1000,0.65,2347,10,Pranav Gokhale,2.86,2.38,16.67,0.91,1.43,6,Invesco Mutual Fund,0,Equity,Multi Cap Funds,1.4,27,11,198,589,417,392,440,622,472,503,383
Invesco India Overnight Fund,100,1000,0.09,337,3,Krishna Cheemalapati,-0.3,0.55,0.35,0.42,-0.06,1,Invesco Mutual Fund,3,Debt,Overnight Mutual Funds,5.3,3.8,,520,6,407,13,196,15,33,14,791
Invesco India PSU Equity Fund,500,1000,0.96,394,10,Dhimant Kothari,2.73,3.08,18.45,0.66,1.19,6,Invesco Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,16.2,26.5,12.6,803,574,507,365,525,712,170,324,241
Invesco India Short Term Fund,1000,1000,0.35,350,10,Vikas Garg,1.31,4.41,1.93,2.19,0.76,2,Invesco Mutual Fund,2,Debt,Short Duration Funds,3.9,6.2,6.8,352,193,171,147,597,186,756,142,570
Invesco India Smallcap Fund,500,1000,0.78,1400,4,Taher Badshah,3.38,3.51,18.25,0.82,1.7,6,Invesco Mutual Fund,3,Equity,Small Cap Mutual Funds,3.5,34.6,,315,723,407,553,555,703,325,663,315
Invesco India Tax Plan – Direct Growth,500,500,0.92,1833,10,Amit Nigam,2.21,-2.63,16.3,0.94,1.19,6,Invesco Mutual Fund,3,Equity,ELSS Mutual Funds,-5.2,22.4,10.8,36,455,406,255,39,576,527,324,257
Invesco India Treasury Advantage Fund,100,1000,0.32,1230,10,Krishna Cheemalapati,2.9,2.95,0.93,1.27,1.34,2,Invesco Mutual Fund,2,Debt,Low Duration Funds,4.9,5.6,6.4,457,147,136,403,511,128,707,428,600
Invesco India Ultra Short Term Fund,1000,1000,0.24,818,10,Krishna Cheemalapati,3.4,2.51,0.57,1.2,1.59,2,Invesco Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,6,540,112,107,557,458,78,696,618,675
ITI Arbitrage Fund,500,5000,0.22,7.04,4,Vikrant Mehta,-1.02,-0.04,0.65,0.31,-0.71,1,ITI Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,3.9,3.3,,352,1,407,6,139,89,25,3,687
ITI Balanced Advantage Fund,500,5000,0.35,452,3,Dhimant Shah,2.56,-0.95,11.13,0.59,0.88,6,ITI Mutual Fund,1,Hybrid,Dynamic Asset Allocation or Balanced Advantage,-0.2,12.3,,119,324,407,327,84,365,124,176,570
ITI Banking & PSU Debt Fund,500,5000,0.15,27,2,Vikrant Mehta,-,-,-,-,-,2,ITI Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.4,,,540,407,407,407,407,407,407,407,751
ITI Dynamic Bond Fund,500,5000,0.14,57,2,Vikrant Mehta,-,-,-,-,-,2,ITI Mutual Fund,5,Debt,Dynamic Bond,5.7,,,631,407,407,407,407,407,407,407,764
ITI Liquid Fund,500,5000,0.09,31,4,Vikrant Mehta,-0.02,0.63,0.37,0.47,0,1,ITI Mutual Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,,575,13,407,20,218,34,64,21,791
ITI Long Term Equity Fund,500,500,0.44,156,3,Dhimant Shah,3.29,0.26,15.59,0.86,1.31,6,ITI Mutual Fund,2,Equity,ELSS Mutual Funds,5.6,23.7,,595,478,407,515,165,507,385,406,497
ITI Overnight Fund,500,5000,0.08,26,3,Vikrant Mehta,-1.11,0.48,0.34,0.42,-0.22,1,ITI Mutual Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,,496,6,407,4,186,5,33,7,795
ITI Small Cap Fund,500,5000,0.44,1015,3,Dhimant Shah,2.41,-4.78,21.23,0.95,1.27,6,ITI Mutual Fund,1,Equity,Small Cap Mutual Funds,6.5,29.4,,689,639,407,295,19,763,550,364,497
ITI Ultra Short Duration Fund,500,5000,0.1,119,2,Vikrant Mehta,-,-,-,-,-,2,ITI Mutual Fund,2,Debt,Ultra Short Duration Funds,5.3,,,520,407,407,407,407,407,407,407,778
JM Arbitrage Fund,500,5000,0.36,60,10,Asit Bhandarkar,-0.31,0.56,0.72,0.55,-0.23,1,JM Financial Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,5.4,3.7,4.5,540,5,20,12,200,105,102,6,560
JM Dynamic Bond Fund,1000,5000,0.63,43,10,Gurvinder Singh Wasan,1.64,1.34,1.61,0.65,0.95,2,JM Financial Mutual Fund,4,Debt,Dynamic Bond,4.8,6,6.1,446,179,112,177,317,152,167,210,396
JM Equity Hybrid Fund,500,5000,1.37,11,10,Asit Bhandarkar,3.79,5.95,17.44,1,1.4,6,JM Financial Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,8,29.5,11.2,723,642,425,663,663,672,632,475,91
JM Flexicap Fund,500,5000,1.62,255,10,Gurvinder Singh Wasan,3.67,1.75,16.28,0.9,1.4,6,JM Financial Mutual Fund,4,Equity,Flexi Cap Funds,5.2,30.7,13.8,496,659,578,635,378,574,452,475,46
JM Focused Fund,500,5000,1.58,42,10,Gurvinder Singh Wasan,2.5,-2.98,16.71,0.93,1.08,6,JM Financial Mutual Fund,1,Equity,Focused Funds,3.1,19.4,8.6,295,407,306,318,34,627,512,275,51
JM Large Cap Fund,500,5000,1.8,44,10,Gurvinder Singh Wasan,2.94,-0.69,12.03,0.67,1.2,6,JM Financial Mutual Fund,5,Equity,Large Cap Mutual Funds,1.8,18.3,10.4,226,393,387,413,102,390,175,331,16
JM Liquid Fund,1000,5000,0.15,1426,10,Shalini Tibrewala,3.82,1.22,0.36,0.68,0.86,2,JM Financial Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.2,5.3,595,42,45,664,298,29,183,173,751
JM Low Duration Fund,1000,5000,0.34,151,10,Shalini Tibrewala,12.57,9.03,11.61,1.19,0.64,2,JM Financial Mutual Fund,4,Debt,Low Duration Funds,5.1,11.5,5.3,487,305,45,791,719,376,693,119,580
JM Medium to Long Duration Fund,1000,5000,0.48,19,10,Gurvinder Singh Wasan,0.28,0.23,3.03,1.39,0.2,3,JM Financial Mutual Fund,2,Debt,Medium to Long Duration Funds,2.5,4.8,3.1,263,91,9,37,158,253,724,47,481
JM Tax Gain Fund,500,500,1.45,70,10,Gurvinder Singh Wasan,2.94,0.39,16.56,0.93,1.35,6,JM Financial Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,26.2,12.8,164,564,518,413,173,603,512,434,75
JM Value Fund,500,5000,1.87,163,10,Gurvinder Singh Wasan,3.94,4.56,16.13,0.89,1.53,6,JM Financial Mutual Fund,2,Equity,Value Funds,7.7,28.9,12.4,717,627,500,681,607,558,432,575,12
Kotak Balanced Advantage Fund,1000,1000,0.48,14279,5,Harish Krishnan,4.01,3.56,8.76,0.56,1.59,6,Kotak Mahindra Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.5,18.1,,575,389,407,691,559,346,106,618,481
Kotak Banking and PSU Debt Fund,1000,5000,0.37,5256,10,Deepak Agrawal,1.87,4.03,2.03,1.45,1.03,3,Kotak Mahindra Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.7,6.7,7.5,436,227,239,212,585,190,729,257,550
Kotak Bluechip Fund,100,1000,0.64,5259,10,Harish Krishnan,3.48,1.75,15.3,0.91,1.45,6,Kotak Mahindra Mutual Fund,5,Equity,Large Cap Mutual Funds,3.3,26.8,12.6,305,583,507,595,378,483,472,521,389
Kotak Bond – Short Term Fund,1000,5000,0.36,12203,10,Deepak Agrawal,1.89,4.73,1.76,2.06,1.12,3,Kotak Mahindra Mutual Fund,3,Debt,Short Duration Funds,4.4,6.5,7.2,404,217,207,215,617,170,753,296,560
Kotak Bond Fund,1000,5000,0.63,1584,10,Abhishek Bisen,0.72,1.47,3.19,1.57,0.6,2,Kotak Mahindra Mutual Fund,3,Debt,Medium to Long Duration Funds,4.1,6.4,7.7,372,207,254,82,346,257,735,113,396
Kotak Corporate Bond Fund,1000,5000,0.32,8880,10,Deepak Agrawal,2.25,1.73,1.54,0.59,1.23,2,Kotak Mahindra Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.5,6.4,7.1,418,207,202,263,372,147,124,339,600
Kotak Credit Risk Fund,1000,5000,0.74,1204,10,Deepak Agrawal,0.42,0.82,2.92,-0.4,0.47,5,Kotak Mahindra Mutual Fund,2,Debt,Credit Risk Funds,1.6,5.9,6.4,207,169,136,48,246,246,14,88,337
Kotak Debt Hybrid Fund,1000,5000,0.44,1650,10,Devender Singhal,3.44,4.79,4.73,0.7,2.06,4,Kotak Mahindra Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,6.1,14.3,10,675,347,370,574,621,294,193,770,497
Kotak Dynamic Bond Fund,1000,5000,0.4,1992,10,Deepak Agrawal,1,1.66,2.95,1.32,0.69,3,Kotak Mahindra Mutual Fund,4,Debt,Dynamic Bond,3.9,6.6,7.8,352,223,264,115,363,248,715,131,519
Kotak Emerging Equity Fund,100,100,0.49,23962,10,Pankaj Tibrewal,3.73,3.18,16.42,0.9,1.82,6,Kotak Mahindra Mutual Fund,4,Equity,Mid Cap Mutual Funds,6.6,34,15.2,693,716,612,649,538,590,452,707,476
Kotak Equity Arbitrage Fund,1000,5000,0.43,21917,10,Hiten Shah,1.46,1.66,0.75,0.54,1.26,1,Kotak Mahindra Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.8,4.9,5.6,656,95,82,157,363,112,95,354,505
Kotak Equity Hybrid Fund,1000,5000,0.58,3269,8,Pankaj Tibrewal,3.89,7.32,11.76,0.79,1.86,6,Kotak Mahindra Mutual Fund,0,Hybrid,Aggressive Hybrid Mutual Funds,5,26.9,12.8,470,586,518,672,691,382,281,718,428
Kotak Equity Opportunities – Direct Growth,500,500,0.6,11608,10,Harsha Upadhyaya,3.43,4.72,14.62,0.84,1.64,6,Kotak Mahindra Mutual Fund,4,Equity,Large & Mid Cap Funds,6.2,28.8,13.9,678,624,580,571,615,450,348,646,413
Kotak Equity Savings Fund,1000,5000,1.02,2097,8,Devender Singhal,4.22,4.5,5.64,0.79,1.8,4,Kotak Mahindra Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,6.6,14.4,9.2,693,348,335,724,603,309,281,702,207
Kotak Flexi Cap Fund,500,5000,0.68,35775,10,Harsha Upadhyaya,2.7,0.11,15.22,0.88,1.37,6,Kotak Mahindra Mutual Fund,3,Equity,Flexi Cap Funds,3.8,25,11.7,344,507,454,357,151,481,417,449,366
